cik,ticker,name,fraud_start,fraud_end,enforcement_year,label_source,label_strength,standard,sec_xbrl
0001336917,UAA,"Under Armour, Inc.",2015,2016,2021,SEC AAER / settled order (May 2021),gold,US GAAP,True
0001364479,HTZ,HERTZ GLOBAL HOLDINGS INC (old),2012,2014,2018,SEC AAER (Order 33-10601),gold,US GAAP,True
0001637459,KHC,The Kraft Heinz Co,2015,2018,2021,SEC AAER / Press Release 2021-174,gold,US GAAP,True
0000040545,GE,GENERAL ELECTRIC CO,2015,2017,2020,SEC AAER / Press Release 2020-312,gold,US GAAP,True
0001376339,MDXG,"MIMEDX GROUP, INC.",2013,2017,2019,SEC AAER / Press Release 2019-243,gold,US GAAP,True
0001158172,SCOR,"comScore, Inc.",2014,2015,2019,SEC AAER / Press Release 2019-186,gold,US GAAP,True
0000910406,HAIN,HAIN CELESTIAL GROUP INC,2014,2016,2018,SEC AAER / Press Release 2018-277,gold,US GAAP,True
0001131554,SNCR,"Synchronoss Technologies, Inc.",2015,2017,2019,SEC AAER / Press Release 2019-265,gold,US GAAP,True
0000865941,CGI,Celadon Group Inc,2016,2017,2019,DOJ+SEC / Press Release 2019-60,gold,US GAAP,True
0001360886,OSIR,"OSIRIS THERAPEUTICS, INC.",2014,2015,2020,SEC AAER / Litigation Release,gold,US GAAP,True
0001058057,MRVL,MARVELL TECHNOLOGY GROUP LTD,2015,2016,2019,SEC AAER / Press Release 2019-175,gold,US GAAP,True
0001931717,CSC,Computer Sciences Corp,2009,2012,2015,SEC AAER,gold,US GAAP,True
0001032975,LOGI,Logitech International,2011,2013,2016,SEC AAER,gold,US GAAP,True
0001080866,RATE,BANKRATE INC,2010,2012,2015,SEC AAER / Press Release 2015-180,gold,US GAAP,True
0000885590,BHC,Bausch Health (Valeant),2014,2015,2016,8-K 4.02 + SEC investigation; class action,silver,US GAAP,True
0000072971,WFC,Wells Fargo & Co,2014,2016,2020,SEC enforcement,silver,US GAAP,True
0001731289,NKLA,Nikola Corp,2020,2020,2021,SEC AAER / DOJ+SEC (Milton),gold,US GAAP,True
0000028823,DBD,DIEBOLD NIXDORF INC,2002,2007,2010,SEC AAER / Litigation Release 21543,gold,US GAAP,True
0001773563,LK,Luckin Coffee Inc.,2019,2020,2020,SEC AAER / Press Release 2020-319,gold,US GAAP (20-F),False
0001024401,ENE,ENRON CORP/OR/,1997,2001,2001,SEC AAER / DOJ+SEC,gold,US GAAP,False
0000723527,WCOM,MCI INC (WorldCom),1999,2002,2002,SEC AAER / DOJ+SEC,gold,US GAAP,False
0000785161,HRC,Encompass Health Corp (HealthSouth),1996,2002,2003,SEC AAER / DOJ+SEC,gold,US GAAP,True
0001819559,WDI,Wirecard AG,2015,2020,2020,BaFin / insolvency,gold,IFRS,False
0000100441,TYC,TYCO INTERNATIONAL LTD,1996,2002,2002,SEC AAER / DOJ+SEC,gold,US GAAP,False
