accession,cik,ticker,company,form,filing_date,fiscal_year,score,band,beneish_m,cfo_ni_ratio,top_flags,agent_reviewed,index_date,detected_at,state,city,lat,lng
0001213900-26-068933,0002067627,NKLR,TERRA INNOVATUM GLOBAL N.V.,10-K,20260616,2025,0.9554,ELEVATED,22.06122270340937,-0.019085341893965792,Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow; Digit distribution deviates from Benford's Law,True,2026-06-16,2026-06-17T19:33:10,,,,
0001683168-26-004871,0001367083,SNOA,"SONOMA PHARMACEUTICALS, INC.",10-K,20260616,2026,0.6168,WATCH,-1.6909092370607075,1.238740157480315,Elevated accruals relative to cash earnings; Financial-distress zone raises controls/incentive risk,True,2026-06-16,2026-06-17T19:33:10,,,,
0001437749-26-020545,0001883984,,"Alternus Clean Energy, Inc.",10-K/A,20260616,2025,0.885,ELEVATED,-3.3952467230334586,0.38313290163428926,Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow; Digit distribution deviates from Benford's Law,True,2026-06-16,2026-06-17T19:53:59,NY,New York City,43.19,-76.52
0001493152-26-008130,0001574235,PULM,"PULMATRIX, INC.",10-K/A,20260616,2025,0.4781,WATCH,-2.1248390369534875,1.0524990313831848,Elevated accruals relative to cash earnings; Digit distribution deviates from Benford's Law,True,2026-06-16,2026-06-17T19:53:59,MA,Framingham,41.738,-71.5024
0001493152-26-021108,0001979005,AFJK,"AIMEI HEALTH TECHNOLOGY CO., LTD",10-Q,20260616,2025,0.85,ELEVATED,-9.75525940260036,-0.5332299144718466,Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow; Digit distribution deviates from Benford's Law,True,2026-06-16,2026-06-17T19:53:59,NY,New York,43.36,-75.5168
0001683168-25-007621,0001939937,LMMY,"Exousia Bio, Inc.",10-Q,20260616,2025,0.498,WATCH,-5.0374861130919015,-0.0881019554431365,Earnings not backed by operating cash flow,True,2026-06-16,2026-06-17T19:53:59,FL,St. Petersburg,28.532,-81.608
0001731122-26-000140,0001762239,KAVL,"KAIVAL BRANDS INNOVATIONS GROUP, INC.",10-Q,20260616,2025,0.6767,ELEVATED,-99.90954983096374,0.16673536828426655,Possible premature / aggressive revenue recognition; Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow,True,2026-06-16,2026-06-17T19:53:59,FL,Grant-Valkaria,27.886,-82.436
0001193125-26-031573,0000072205,NOBH,"NOBILITY HOMES, INC.",10-Q,20260616,2025,0.5516,WATCH,-1.5064628070242045,0.4927084173189873,Possible premature / aggressive revenue recognition; Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow,True,2026-06-16,2026-06-17T19:53:59,FL,Ocala,28.514,-81.6104
0001640334-26-000977,0001794942,SKFG,STARK FOCUS GROUP INC.,10-Q,20260616,2025,0.8826,ELEVATED,,0.6436473269395119,Earnings not backed by operating cash flow; Digit distribution deviates from Benford's Law,True,2026-06-16,2026-06-17T19:53:59,A0,Calgary,,
0001193125-26-158986,0001579157,VNCE,VINCE HOLDING CORP.,10-Q,20260616,2026,0.4763,WATCH,-2.432853014929055,0.46832862966447164,Earnings not backed by operating cash flow,True,2026-06-16,2026-06-17T19:53:59,NY,New York,42.086,-75.1976
0001079973-26-000408,0001745078,VYND,"Vynleads, Inc.",10-Q,20260616,2025,0.8523,ELEVATED,-15.575595769650326,0.4267914971027107,Earnings not backed by operating cash flow; Digit distribution deviates from Benford's Law; Financial-distress zone raises controls/incentive risk,True,2026-06-16,2026-06-17T19:53:59,SC,Rock Hill,34.734,-80.6816
0001193125-13-103254,0000018169,,DOLE FOOD CO INC,10-K,,2012,0.5157,WATCH,-2.973562354604475,-0.3134228141461828,Possible premature / aggressive revenue recognition; Earnings not backed by operating cash flow,True,watchlist,2026-06-17T20:05:34,CA,Westlake Village,37.474,-119.5056
0000880446-14-000044,0000880446,,VITESSE SEMICONDUCTOR CORP,10-K,,2014,0.5541,WATCH,-2.993766617653159,0.38428769017980635,Earnings not backed by operating cash flow; Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,CA,Camarillo,36.976,-119.9952
0001489137-15-000007,0001489137,,"Molycorp, Inc.",10-K,,2014,0.4519,WATCH,-3.6393323357856042,0.36731941005134444,Earnings not backed by operating cash flow; Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,CO,Greenwood Village,39.43,-105.9992
0001628280-15-007491,0001320947,,Diamond Foods Inc,10-K,,2015,0.4082,WATCH,-2.545504187841401,1.4543748107780805,Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,CA,Stockton,36.84,-118.5048
0001008886-16-000363,0000865941,,CELADON GROUP INC,10-K,,2016,0.7325,ELEVATED,-1.4538591739113522,-0.20974883271614878,Earnings not backed by operating cash flow,True,watchlist,2026-06-17T20:05:34,IN,Indianapolis,39.036,-86.4368
0001558370-19-002094,0001360886,,"OSIRIS THERAPEUTICS, INC.",10-K,,2018,0.9021,ELEVATED,4.072578338330962,0.19793501531123817,Elevated accruals relative to cash earnings; Earnings not backed by operating cash flow; Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,MD,Columbia,39.242,-77.52
0001558370-21-004359,0001648428,,"SEQUENTIAL BRANDS GROUP, INC.",10-K,,2020,0.6507,WATCH,-3.306735990823842,-0.04791992842764482,Possible premature / aggressive revenue recognition; Earnings not backed by operating cash flow; Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,NY,New York,43.16,-75.572
0001058057-21-000009,0001058057,,MARVELL TECHNOLOGY GROUP LTD,10-K,,2021,0.5451,WATCH,-2.8993785473663105,-2.947323817697928,Earnings not backed by operating cash flow,True,watchlist,2026-06-17T20:05:34,D0,Hamilton Hm 10,,
0001273931-23-000039,0001273931,,MONEYGRAM INTERNATIONAL INC,10-K,,2022,0.8235,ELEVATED,-2.0222441314706003,2.5058479532163744,Digit distribution deviates from Benford's Law,True,watchlist,2026-06-17T20:05:34,TX,Dallas,31.488,-99.8208
0001493152-24-009567,0000075208,,"Overseas Shipholding Group, Inc",10-K,,2023,0.4728,WATCH,-1.2383654011082077,1.6485413264162423,Financial-distress zone raises controls/incentive risk,True,watchlist,2026-06-17T20:05:34,FL,Tampa,28.612,-83.3888
0000867773-23-000026,0000867773,,SUNPOWER CORP,10-K,,2023,0.6999,ELEVATED,-2.00088598022325,-3.2386102039723754,,False,watchlist,2026-06-17T20:05:34,TX,Austin,30.788,-99.192
0001131554-25-000029,0001131554,,"Synchronoss Technologies, Inc",10-K,,2024,0.4493,WATCH,-3.1136865430473306,4.595385115372116,,False,watchlist,2026-06-17T20:05:34,NJ,Bridgewater,39.542,-75.1056
0001133421-26-000003,0001133421,NOC,NORTHROP GRUMMAN CORP /DE/,10-K,,2025,0.4326,WATCH,-2.4572342328048267,1.1374940219990435,,False,watchlist,2026-06-17T20:05:34,VA,Falls Church,37.75,-79.404
0001637459-26-000009,0001637459,KHC,Kraft Heinz Co,10-K,,2025,0.5234,WATCH,-3.1912512744767216,-0.7632569278138899,,False,watchlist,2026-06-17T20:05:34,PA,Pittsburgh,40.248,-77.428
0001193125-26-083899,0001067983,BRK-B,BERKSHIRE HATHAWAY INC,10-K,,2025,0.4446,WATCH,-2.4084301142584916,0.6864323258869908,,False,watchlist,2026-06-17T20:05:34,NE,Omaha,40.946,-99.6416
0001551182-26-000007,0001551182,ETN,EATON CORPORATION plc,10-K,,2025,0.514,WATCH,-2.37503208528875,1.0942011255199413,,False,watchlist,2026-06-17T20:05:34,L2,Dublin,,
0000050863-26-000011,0000050863,INTC,INTEL CORP,10-K,,2025,0.5552,WATCH,-2.5630129267206274,-36.3183520599251,,False,watchlist,2026-06-17T20:05:34,CA,Santa Clara,36.74,-119.5128
0001652044-26-000018,0001652044,GOOGL,Alphabet Inc.,10-K,,2025,0.4803,WATCH,-2.670112113736179,1.2462207762729818,,False,watchlist,2026-06-17T20:05:34,CA,Mountain View,36.442,-119.016
0000051143-26-000010,0000051143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,10-K,,2025,0.5124,WATCH,-2.4037639123135133,1.2454451052581894,,False,watchlist,2026-06-17T20:05:34,NY,Armonk,42.586,-75.7016
0001031296-26-000046,0001031296,FE,FIRSTENERGY CORP,10-K,,2025,0.5073,WATCH,-2.604410771212696,3.627450980392157,,False,watchlist,2026-06-17T20:05:34,OH,Akron,41.0,-82.4688
0000002488-26-000018,0000002488,AMD,ADVANCED MICRO DEVICES INC,10-K,,2025,0.4121,WATCH,-2.714654767779858,1.7783160322952711,,False,watchlist,2026-06-17T20:05:34,CA,Santa Clara,36.44,-119.1432
0000018230-26-000008,0000018230,CAT,CATERPILLAR INC,10-K,,2025,0.4045,WATCH,-2.4700715164030567,1.3216617878856114,,False,watchlist,2026-06-17T20:05:34,TX,Irving,32.464,-99.876
0001628280-26-004357,0000012927,BA,THE BOEING COMPANY,10-K,,2025,0.4429,WATCH,-2.9776637396124843,0.47651006711409394,,False,watchlist,2026-06-17T20:05:34,VA,Arlington,37.698,-78.4848
0000040545-26-000008,0000040545,GE,GENERAL ELECTRIC COMPANY,10-K,,2025,0.5955,WATCH,-2.2264484253533547,0.9808134191176471,,False,watchlist,2026-06-17T20:05:34,OH,Evendale,40.014,-81.6264
0000858877-25-000111,0000858877,CSCO,"CISCO SYSTEMS, INC.",10-K,,2025,0.4731,WATCH,-2.620302706041913,1.394204322200393,,False,watchlist,2026-06-17T20:05:34,CA,San Jose,36.93,-119.8848
0001467373-25-000217,0001467373,ACN,Accenture plc,10-K,,2025,0.4051,WATCH,-2.6503487143867632,1.4943672751979473,,False,watchlist,2026-06-17T20:05:34,L2,Dublin,,
0000097745-26-000018,0000097745,TMO,THERMO FISHER SCIENTIFIC INC.,10-K,,2025,0.4627,WATCH,-2.4666152512478607,1.1661694510739857,,False,watchlist,2026-06-17T20:05:34,MA,Waltham,41.696,-72.1624
0001628280-26-008131,0000019617,JPM,JPMORGAN CHASE & CO,10-K,,2025,0.6778,ELEVATED,-2.238836386682591,-2.5904852054410323,,False,watchlist,2026-06-17T20:05:34,NY,New York,42.112,-74.8736
0000066740-26-000014,0000066740,MMM,3M COMPANY,10-K,,2025,0.4588,WATCH,-2.2655288674654908,0.7095384615384616,,False,watchlist,2026-06-17T20:05:34,MN,St Paul,45.712,-94.7056
0000070858-26-000157,0000070858,BAC,BANK OF AMERICA CORP /DE/,10-K,,2025,0.6031,WATCH,-2.3836577262116467,0.4134189911173752,,False,watchlist,2026-06-17T20:05:34,NC,Charlotte,34.986,-80.5808
0000093410-26-000078,0000093410,CVX,Chevron Corp,10-K,,2025,0.427,WATCH,-2.9661908782890762,2.759492641678185,,False,watchlist,2026-06-17T20:05:34,TX,Houston,31.736,-100.3944
0000200406-26-000016,0000200406,JNJ,Johnson & Johnson,10-K,,2025,0.4675,WATCH,-2.260800018676763,0.9151619161319207,,False,watchlist,2026-06-17T20:05:34,NJ,New Brunswick,41.16,-74.4528
